,user_id,created_at,ip,QID11_TEXT_translated
0,639539048,2024-04-16 07:47:42.064104,178.133.129.176,"Young, beautiful, married, sociable, kind, open"
1,612174706,2024-03-18 07:15:10.928451,176.98.92.99,"I like to complete tasks, I am responsible for my work, it is interesting to learn something new. I like working with reporting and finances the most. I am interested in the laws regarding the order of accruals and various types of payments. I don't have bad habits, I like walks. Interested in additional income."
2,616454733,2024-04-01 16:17:05.530395,128.124.188.167,"I am responsible for any activity. I work hard at work. In communication with family and friends, she is frank and communicative."
3,833975449,2024-04-11 09:35:54.153091,46.211.248.57,"Purposefulness, obligation in the performance of assigned tasks."
4,251643453,2024-03-18 08:03:52.302407,62.201.255.183,Mom is on maternity leave. Caring and purposeful. I value openness and sincerity. I like to travel and get to know the world.
5,835837755,2024-04-12 09:00:25.059673,31.134.105.156,"Not very self-confident, but punctual and always completing work tasks on time"
6,297221362,2024-03-19 17:02:09.233736,31.144.169.96,"Man. Chaotic good. I cross the road at a crosswalk, I don't hit animals, I'm not fanatical about children, I like sweets, I know about the need for a difference in calories before physical activity. A good assistant or creator of ideas, but I do not organize myself into boring work."
7,364973870,2024-03-25 17:02:58.986957,2001:67c:198c:906:19::16d,"I am a Ukrainian who has lived in Ukraine all my life - in such turbulent times!) there is little in this world that can surprise, frighten or puzzle me"
8,527555556,2024-03-18 09:24:41.185383,178.159.228.251,"I consider myself a responsible employee, I always pay close attention to details, I notice various little things. I have a great desire to learn and develop in my field, but for this I need a good mentor. I like to feel self-sufficient and confident in the future. I love my family, I have a little son and family will always be my first priority. In my free time, I enjoy reading detective stories, especially novels by Agatha Christie. And I love to learn, the very process of learning (note-taking, organization of the process) excites me. Of course, it is difficult to combine work, studies and routine family responsibilities, but I rush into each new day with delight."
9,5543745387,2024-04-16 22:38:22.846180,88.155.192.157,"Purposeful, responsible for nuances.
I like to go to the mountains, do various sports."
10,6500296514,2024-03-13 19:28:51.668929,91.219.82.245,I am a mother who loves my little son.
11,531261750,2024-03-19 15:33:18.290373,193.238.33.158,"I am a creative person, I like to play sports, develop my creativity and help people."
12,552226623,2024-03-18 08:53:30.697144,78.26.151.147,"I am now retired. But I continue to study. Soon I will have training on creating a presentation, business cards and editing texts."
13,388337942,2024-04-12 20:13:31.609956,194.107.178.175,"Sociable, hardworking, owner-friendly, loving mother"
14,577330819,2024-03-19 16:17:46.024964,37.73.23.112,I am straightforward. I love and observe justice towards everyone and everything. Dedicated to her work. Demanding both to herself and to her employees.
