|date|QID11_TEXT_translated|QID31_TEXT_translated|QID18_TEXT_translated|QID22_TEXT_translated
287|2024-01-17|I have the profession of a military psychologist, I work in a military structure, sociable, always open for communication, organized, responsible|Consultations, psychological work with all categories of the population|Ukrainian|European
288|2024-01-17|I want to earn|Don't know|Ukrainian|Ukrainian woman
289|2024-01-17|"I am a very responsible and qualified specialist. I love to create a new reality for the customer. Unfortunately, there are practically no people in Ukraine who need such services.
I have a lot of experience - more than 17 years of participation and attendance at all major furniture exhibitions, more than 100 productions in Europe"|Design, order, organization of logistics and control of assembly of furniture and interior items produced by Italian and German factories|Ukrainian|Slavic woman
290|2024-01-17|I am an empathetic person who likes the direction of development, because the hospitality business is about the opportunity and need to feel each guest.|I am studying hotel and restaurant business management at the university|Ukrainian|European
291|2024-01-17|I love working with children of all ages. A creative and creative personality: I sew, knit, do crafts. I have been working officially for 11 years|Educator in an orphanage|Ukrainian|Caucasian
292|2024-01-17|I am happy with my family.|Child care work|Ukrainian|I am strong
293|2024-01-17|What about me?|Gave sales. I don't study|Russian|Meaningless input
294|2024-01-17|Confidence, sociability, responsibility. Hobby - reading and studying psychology and social policy,|Consultations on civil and commercial law|Ukrainian|European
295|2024-01-17|I'm an introverted person who has a small circle of close friends. I enjoy reading, watching movies, spending time with friends in bars and restaurants. I also like traveling and learning new things about cultures and languages.|My job involves assisting customers with inquiries, issues, and product-related concerns. Responsibilities include providing timely and helpful responses through phone and email, resolving problems, and ensuring a positive customer experience. Activities may include troubleshooting, explaining product features, and maintaining accurate records of interactions.|Ukrainian|White
296|2024-01-17|I am on maternity leave|Not working|Ukrainian|I am beautiful and smart
297|2024-01-17|I love music and do vocals|Waiter|Ukrainian|European
298|2024-01-17|I am a purposeful, responsible, multitasking person. I really love my job, which requires a lot of concentration and making the right decisions. In my free time I like to walk, visit interesting places, and go to the theater. I also love to travel.|Controlling the inbound and outbound flights and all aircrafts in the my responsibility zone. Also controlling all movements in the manuvering area|Ukrainian|Caucasian
299|2024-01-17|I am an introvert who likes to be alone, but at the same time I like to communicate with people. I am diligent, calm and well-mannered at work. I have many hobbies, for example: playing the guitar, learning English, doing sports, and beekeeping.|I am undergoing initial training in the Police|Ukrainian|European
300|2024-01-17|"Search for new
Photography
Wanderings"|Editing director, cameraman|Ukrainian|European
301|2024-01-17|I don't want to tell the internet about it|studied to be a painter|Ukrainian|Ukrainian is European
302|2024-01-17|love patron dog|teaching|Ukrainian|Meaningless input
303|2024-01-17|Meaningless input|why|Ukrainian|Ukrainian
304|2024-01-17|Meaningless input|Shpsh|Meaningless input|Meaningless input
305|2024-01-17|Well, I am like this|I'm learning|Ukrainian|Meaningless input
306|2024-01-17|I am Dana|I work hard|grew up sorry..|white
307|2024-01-17|. ...trl|......tl|Meaningless input|Meaningless input
308|2024-01-17|me??|me|ukrainian|idk
309|2024-01-17|YNWA|The most common system|Ukrainian|European
310|2024-01-17|Meaningless input|Meaningless input|Ukrainian|Meaningless input
311|2024-01-17|"I am a young Ukrainian and I am 24 years old. I am currently looking for a job in the field of transportation, distribution and logistics.

I willingly take responsibility for my actions and always make every effort to achieve the set goal. It is important for me to be an efficient and organized worker, and I always try to show my professionalism at work.

In addition, I have good communication skills, which helps in interacting with colleagues and clients. I am willing to work in a group, but I am also able to work independently and make decisions according to the needs of the project or task.

As for my attitude to work, it is important for me to perform my duties at the highest level of quality. I always try to improve my skills and knowledge to be successful in my field. I believe that work is the key to success and satisfaction in life.

As for my favorite activities, I like communicating with people and finding effective ways to achieve common goals. I also enjoy planning and organizing, so my main field of employment in transportation, distribution and logistics is perfect for me."|In recent years, I have studied and gained experience in the field of transportation, distribution and logistics. My responsibilities included organization and coordination of logistics processes, ensuring the efficiency of goods delivery and inventory control. I also know how to work with vehicles and take into account regulatory norms and requirements for transportation safety. My activities include planning, coordinating and monitoring the movement of goods, as well as working with suppliers and customers to meet their needs.|Ukrainian|Human
312|2024-01-17|Mom is on maternity leave|On maternity leave|Ukrainian|Race
313|2024-01-17|I am sincere and purposeful|Not working|Ukrainian|Meaningless input
314|2024-01-17|I am married, I have a child of school age. I enjoy going to work and talking with my clients. I have free time, so I want to participate in the survey|Visiting customers, communicating, and most importantly, taking orders|Ukrainian|Ukrainian
