|user_id|cluster|ip|date|QID11_TEXT_translated
0|629425715|cluster1|0.0.0.0|2023-12-21|Responsible
1|630991301|cluster1|0.0.0.0|2023-12-21|Medic. It seems that, apart from medicine, there is nothing more interesting in my life. I like cooking, namely confectionery. I like various riddles, tarot and astrology. Sometimes it seems that I am going crazy. I want to change something in my life, even though I cheat. I want to change my whole life.
2|635691326|cluster1|0.0.0.0|2023-12-21|Responsible attitude, perfectionism, high self-requirements. I like creative activities and helping others the most
3|1434085294|cluster1|0.0.0.0|2023-12-21|I am an optimistic person, I always believe in the best. I love my job because I can help people. I love spending time with my child, listening to music, cooking
4|186364599|cluster1|2a02:2378:1013:b23b:b948:6463:4b85:b120|2023-12-22|Good man ?
5|295384160|cluster1|2a02:26f7:b6c0:dd06:0:a0ae:7367:6bd|2023-12-23|"Simple, calm, decisive, responsible, kind and straightforward.
I treat work responsibly, because money will not earn itself.
Favorite types of activities, those in which there is no physical activity (watch something, read, play)"
6|300969286|cluster1|0.0.0.0|2023-12-21|I study and work a lot, I also devote a lot of time to housework, because I love cleanliness, I am fond of fiction (detectives), poetry, painting, and I like science fiction series.  I love animals, I have a lot of them, I try to give everyone equal attention.
7|315253832|cluster1|||
8|435768513|cluster1|||
9|281287247|cluster1|0.0.0.0|2023-12-21|I love my job
10|360434162|cluster1|0.0.0.0|2023-12-23|Meaningless input
11|1694521485|cluster1|0.0.0.0|2023-12-22|"I love my job very much.
I like to read books
I love life"
12|1891963826|cluster1|0.0.0.0|2023-12-21|Very cool
13|5134213674|cluster1|||
14|251632838|cluster1|||
15|5223706626|cluster1|0.0.0.0|2023-12-22|I want to go home
16|284194042|cluster1|||
17|299170959|cluster1|||
18|318769343|cluster1|||
19|341742741|cluster1|0.0.0.0|2023-12-21|Tired of studying. Scared of the future.
20|5346776902|cluster1|||
21|5354728555|cluster1|0.0.0.0|2023-12-21|A simple girl, I don't like to work at a job I don't like.
22|350931028|cluster1|0.0.0.0|2023-12-21|"Medicine
Animals"
23|5477445944|cluster1|0.0.0.0|2023-12-23|"I am a mom of three children, married, full time employed teacher.
I think I'm a nice, easy going and fun person. 
I like spending my leisure time with my family.
I also love sport. I do pilates, step, cardio."
24|421902189|cluster1|||
25|426218387|cluster1|||
26|429222734|cluster1|||
27|367688054|cluster1|||
28|434831842|cluster1|0.0.0.0|2023-12-21|I like to perform medical manipulations, learn new things, communicate with colleagues and share information. In my free time I read, play games, go to the cinema.
29|454038760|cluster1|||
30|382534701|cluster1|||
31|386674398|cluster1|0.0.0.0|2023-12-21|Meaningless input
32|388071280|cluster1|0.0.0.0|2023-12-22|Meaningless input
33|480310041|cluster1|0.0.0.0|2023-12-21|I don't want to describe
34|483150029|cluster1|||
35|483781828|cluster1|0.0.0.0|2023-12-22|No, thanks
36|391276733|cluster1|||
37|391580107|cluster1|||
38|484337161|cluster1|||
39|485278311|cluster1|0.0.0.0|2023-12-21|I love argument
40|485576080|cluster1|||
41|492033504|cluster1|0.0.0.0|2023-12-21|"I always find it difficult to describe myself. People close to me say that I am friendly, fair, and can defend my rights. Also, I am quite hot-tempered, easy to get out of a calm state.
Now I am not satisfied with my place and working conditions. I used to find this activity easy, but now I'm burning out.
I like to study psychology, it helps me to deal with internal issues."
42|493829855|cluster1|||
43|495050075|cluster1|0.0.0.0|2023-12-21|Responsible
44|507718789|cluster1|0.0.0.0|2023-12-21|Fun, favorite activity - spending time with family
45|524593878|cluster1|||
46|542638011|cluster1|0.0.0.0|2023-12-21|I'm a closed person, but since the beginning of the war I've been trying to get out of my comfort zone, communicate more and achieve my goals. I love to take pictures, sometimes I can read or play video games
47|417084553|cluster1|0.0.0.0|2023-12-23|I am a strong and independent girl, I live alone. Cheerful, kind, responsible, somewhat domineering and dominant in communication. I listen mostly to k-pop, rock and classics, but I prefer TV series. I’m resourceful at work and will always find a way to simplify a task and speed up the execution, I’m not late, I don’t bullshit, I don’t let you get on my neck. Outside of all this, I love creativity, swimming, singing and most importantly - sleeping)
48|586309727|cluster1|||
49|611290367|cluster1|||
50|657634696|cluster1|||
51|675131612|cluster1|0.0.0.0|2023-12-22|I love my work, collect records, read books
52|680342185|cluster1|||
53|408020964|cluster1|||
54|410783080|cluster1|0.0.0.0|2023-12-23|I don't want to describe myself
55|176126109|cluster1|0.0.0.0|2023-12-21|Hardworking, purposeful
56|625350544|cluster1|0.0.0.0|2023-12-21|I am Ukrainian and I really want to live, work and develop in a free country. Next to my loved ones
57|639981330|cluster1|78.26.242.167|2023-12-22|I like what I do. I periodically do volunteer work. For more than a year, she cooperated with the project and prepared dinners for the needy.
58|528146653|cluster1|||
59|549373378|cluster1|||
60|574093890|cluster1|||
61|320674122|cluster1|0.0.0.0|2023-12-21|Calm, I don't like intrusive people, restrained
62|1067946630|cluster1|195.66.105.117|2023-12-21|I am kind and try to be honest with myself and others. I like to enjoy work and life. I am creative. I draw and embroider with beads.
63|594564353|cluster1|188.163.73.5|2023-12-21|Enthusiast, skeptic, sense of humor, cynicism, empathy
64|365440637|cluster1|0.0.0.0|2023-12-21|I enjoy doing what I like and enjoy, often in depression
65|382077030|cluster1|0.0.0.0|2023-12-21|I like to learn new things, read, play sports, draw and listen to music
66|410745620|cluster1|2a02:26f7:b6c0:dd06:0:a0ae:7367:6bd|2023-12-23|Graduated from Odesa National Medical University in 2020. I work as a gynecologist
67|536558075|cluster1|0.0.0.0|2023-12-21|I really like two fields: music and psychology. As a way of earning in the future, I chose psychology, I have now graduated from university and plan to become a psychotherapist in the future. I really like to think and I have the potential for this activity. Music is a hobby for me to relax. I also love animals and support shelters. At home, I have a cat that I took from the street, a snail and a hamster. People close to me describe me as a very kind and empathetic person. I have a boyfriend with whom we are thinking about a future together. We are planning a wedding and children. The kitten is like our first child together. I was diagnosed with anxiety-depressive disorder, which was diagnosed by a psychiatrist before the war. At the moment, I am in the active phase of therapy and strive for a sustainable remission.
68|563149319|cluster1|0.0.0.0|2023-12-21|Administration
69|612573384|cluster1|0.0.0.0|2023-12-21|Responsible at work. But I like more lively work. I like to sing and learn something new
70|782193165|cluster1|0.0.0.0|2023-12-21|I am a hardworking person, responsible, punctual. I really like medicine and plan to further develop in it
71|801460642|cluster1|0.0.0.0|2023-12-21|Don't want
72|808199487|cluster1|||
73|835723566|cluster1|||
74|903871827|cluster1|78.26.198.239|2023-12-21|Decency, punctuality. I love making people happy
75|995193342|cluster1|||
76|1042938883|cluster1|0.0.0.0|2023-12-24|Caring
77|1049461255|cluster1|||
78|1058701836|cluster1|0.0.0.0|2023-12-23|I am a responsible, purposeful person. I like to cook, maintain cleanliness and order in my own home. And I also like to grow indoor and garden flowers.
79|1086669139|cluster1|||
80|1129193344|cluster1|0.0.0.0|2023-12-21|"Responsible, purposeful
I want to learn new things and go to the goal"
81|1148332234|cluster1|||
82|1264713317|cluster1|||
83|1337318253|cluster1|78.26.242.167|2023-12-24|I will say that while working as a middle manager in a Ukrainian bank, I could not afford to eat as well, dress well and travel as I do now working in a warehouse in Israel. I love the sea, dogs and fitness.
84|1372066640|cluster1|0.0.0.0|2023-12-21|The man is a machine, he started it and plows all the time. I want to relax at least sometimes)))
85|5533869236|cluster1|||
86|5741468602|cluster1|||
87|6012033487|cluster1|||
88|6538647603|cluster1|||
89|6860855895|cluster1|||
90|1213457005|cluster1|188.163.100.221|2023-12-24|I'm smart and cool
91|1000075743|cluster1|2a02:2378:1013:b23b:b948:6463:4b85:b120|2023-12-24|I am calm, slow, lazy, but I can work hard when needed. I like to watch movies and anime, I go swimming
92|737016829|cluster1|0.0.0.0|2023-12-24|I am a 15-year-old schoolgirl who enjoys music, playing the guitar, drawing and learning languages. I hope to enter medical school at the Faculty of Dentistry
93|851453960|cluster1|0.0.0.0|2023-12-24|I'm too shy, too lazy, I don't take responsibility for studying.
94|965809510|cluster1|||
95|988040540|cluster1|||
96|1256257183|cluster1|0.0.0.0|2023-12-24|Oooooh
97|6063514957|cluster1|0.0.0.0|2023-12-24|Meaningless input
98|311921572|cluster1|0.0.0.0|2023-12-20|I am a very intelligent, hardworking and talented person. A good doctor in the future. This is my hobby and favorite thing
99|716867449|cluster1|||
100|417084553|cluster1|0.0.0.0|2023-12-23|I am a strong and independent girl, I live alone. Cheerful, kind, responsible, somewhat domineering and dominant in communication. I listen mostly to k-pop, rock and classics, but I prefer TV series. I’m resourceful at work and will always find a way to simplify a task and speed up the execution, I’m not late, I don’t bullshit, I don’t let you get on my neck. Outside of all this, I love creativity, swimming, singing and most importantly - sleeping)
101|1043790324|cluster2|178.136.139.28|2024-03-26|Kirill I feel very good about my job, I want to earn more money, I have no children :)
102|886774214|cluster2|46.211.120.195|2024-04-10|My name is Tatyana, I love communication, I am not afraid of work. Thank you)
103|948334262|cluster2|5.53.113.79|2024-04-09|I love to cook, now I’m trying to find myself in something to become financially independent!
104|968774501|cluster2|88.155.250.160|2024-04-16|always looking for a job
105|1114795518|cluster2|141.105.133.44|2024-04-12|It is interesting to take the survey
106|1446933712|cluster2|178.251.111.57|2024-03-14|My mother is on maternity leave, I am looking for a job. But it is difficult because of the war
107|1452726594|cluster2|62.122.69.31|2024-03-17|I am a responsible, Czech person who treats everything with great responsibility. I like my job. I like to read, communicate with people, learn something new
108|1114999100|cluster2|91.193.131.77|2024-04-15|I like my job
109|6630936137|cluster2|78.25.4.55|2024-04-13|Responsible and always ready to work
110|1065389917|cluster2|||
111|1538631269|cluster2|194.44.41.190|2024-03-14|I like to work and I am happy if work brings not only pleasure but also income. Despite my age, I am constantly learning
112|5777940381|cluster2|185.247.158.145|2024-04-08|I really like fishing and walking in the fresh air.
113|1440423241|cluster2|178.251.109.234|2024-04-11|I am sociable, I like communicating with people. I diligently perform the tasks entrusted to me. I want to earn decent money, for this I am ready to study
114|504302034|cluster2|95.158.48.104|2024-04-15|Very attentive and hardworking, I love working online
115|1994602313|cluster2|91.197.19.206|2024-04-01|I am creative, creative, positive and take responsibility for my work
116|522399921|cluster2|46.200.184.117|2024-04-15|mother of two children, worked as a cook, madly love the kitchen and everything connected with it, from food to the equipment I work with, fresh air, walks bring new ideas and thoughts about the future
117|643741632|cluster2|95.158.42.162|2024-04-13|Purposeful, fair,
118|2025032169|cluster2|194.44.241.86|2024-03-18|Currently on maternity leave
119|2025378412|cluster2|194.44.201.151|2024-03-19|Responsible for work, in my free time I read and watch movies
120|1808601649|cluster2|31.128.77.201|2024-03-14|Positive, good
121|5167867915|cluster2|141.101.14.255|2024-03-13|I'm a mother on maternity leave and I have a small child and I like to learn something new.
122|5025602685|cluster2|188.163.16.247|2024-04-13|I like everything very much
123|1919531245|cluster2|176.98.21.10|2024-03-31|I love what I do and it is interesting to develop further in this field.
124|5197970190|cluster2|176.117.186.142|2024-03-20|I am a responsible and diligent person!
125|860319898|cluster2|109.108.224.28|2024-04-16|I am a mother, I want a better future for my child, so I also spend time with my child while working. I like to cook, communicate with people. I take responsibility for my work
126|5217190801|cluster2|193.26.13.185|2024-03-25|I am an open, sincere, hardworking person. She worked as a salesperson, took responsibility for her work. At the moment, I spend a lot of time with my child, so we make various applications and draw. I have a hobby, knitting (scarf, hat).
127|494459057|cluster2|2003:d6:3f08:2300:248a:975f:d3f2:e7f8|2024-03-26|I love to develop, communicate, travel. I love animals and all living things.
128|361560447|cluster2|79.143.47.53|2024-03-16|I am punctual and responsible. I like to learn something new. I am a creative person.
129|5313047318|cluster2|188.163.42.20|2024-04-11|I know how to understand and answer any questions, communicative and purposeful person. I like communication.
130|592661336|cluster2|46.98.138.125|2024-03-25|I am currently on maternity leave, but I am trying to work through Instagram. I enjoy selecting and selling our merchandise.
131|611771125|cluster2|193.201.198.36|2024-04-02|I love personal space, I love to cook, the robot distracts me from bad thoughts.
132|382935788|cluster2|78.154.163.77|2024-04-11|I am responsible, I quickly perceive information and learn quickly, I really like to gain new experience in various fields
133|632709898|cluster2|62.16.13.137|2024-03-29|Responsible, I love communication
134|471149441|cluster2|178.158.192.109|2024-03-22|I am a person who loves life!!! I am interested in learning something new. I love active recreation with family and friends.
135|715582841|cluster2|46.219.205.177|2024-03-31|If I take on a job, I will see it through to the end. It's important for me to do a good job. I am attentive and diligent.
136|716013151|cluster2|||
137|722629489|cluster2|91.244.61.15|2024-03-18|I like reading books, photography, cooking, fairy tales, cars
138|530385308|cluster2|91.212.173.46|2024-03-14|I am well done
139|541977475|cluster2|46.164.150.206|2024-04-05|responsible, purposeful person, I like to read, walk in the fresh air, communicate with friends, shopping
140|629411694|cluster2|66.249.81.70|2024-03-20|"I try to approach work creatively, take my time, take a good look at everything to understand what I'm dealing with at the moment.
Usually it annoys someone when someone is slow, but I think it allows you to do a better job than when you rush and make a lot of mistakes."
141|670493389|cluster2|88.155.148.134|2024-04-06|I am a very friendly person, I love communication. I love animals)
142|671782772|cluster2|2a02:2378:1214:9765::1|2024-03-27|Responsible, honest answers
143|715787174|cluster2|195.26.18.102|2024-03-19|Love my family. But I always try to improve my knowledge and skills. I like to travel, learn something new. But to be useful for society.
144|757120624|cluster2|31.134.69.114|2024-03-26|Responsible, attentive, idealistic. I always diligently perform any work. I like to read, communicate with people, grow flowers, microgreens, develop in interesting directions for earnings through the Internet
145|809273286|cluster2|178.215.168.21|2024-03-13|A Ukrainian woman who believes in the best for Ukraine and her family. I love family, friends, life. I always try to perform my duties well at work
146|848914721|cluster2|178.133.15.242|2024-03-24|I like to study different ways of earning money online and spend a lot of time on it
147|850070801|cluster2|188.163.42.255|2024-03-14|"I like to communicate with people.
If there is an opportunity to help something, I help people."
148|874927609|cluster2|77.122.167.6|2024-03-17|I love sports and want to be the best version of myself. The main motivator is myself ☺️
149|923415398|cluster2|178.133.229.89|2024-04-03|Creative, creative. Purposeful, interested in everything new. I love nature
150|5667731273|cluster2|188.190.79.222|2024-04-02|I am active, attentive and responsible towards any type of activity. Favorite type of activity - maintaining business pages on Instagram. I help friends and acquaintances to develop their business in this social network. I am also fond of video shooting and editing.
151|5813081791|cluster2|5.58.210.74|2024-03-29|I am purposeful, I like to learn something new, I read a lot, I work a lot
152|6572040231|cluster2|188.163.14.108|2024-04-06|I am sitting at home. And I really want to find a job online.
153|7116377225|cluster2|93.170.44.93|2024-03-31|"In constant search of new forms of earning.
Communicable
I want to learn something new"
154|784256204|cluster2|2a02:2378:1283:6694::1|2024-03-15|I like to bake, at the moment I am doing various tasks.
155|607764400|cluster2|46.133.14.175|2024-03-26|I like to communicate and help. In free time, sports, recreation,
156|879284455|cluster2|37.57.247.142|2024-03-13|I really like my job, I like helping people. She is a calm, punctual and sociable person. I like to read books, but I don't always have time for it.
157|959605456|cluster2|188.163.12.223|2024-03-23|Hello! My name is Olya, I am the mother of a charming daughter who is 1 year and 10 months old. I am currently on maternity leave. I like to draw, embroider with beads, watch TV series and cook goodies for the family.
158|970909964|cluster2|||
159|975693381|cluster2|||
160|1040216256|cluster2|176.37.162.232|2024-03-30|I love my job because it brings me pleasure
161|1058390813|cluster2|185.59.157.162|2024-03-13|I treat my work responsibly, it is important for me to have a result. I spend my free time with my children and I like to paint pictures
162|1074740082|cluster2|178.255.168.85|2024-03-27|I am a bona fide lover of embroidery
163|1373824986|cluster2|193.8.47.121|2024-03-31|Communicative, purposeful, ambitious
164|5650089579|cluster2|91.225.4.100|2024-03-26|I like to work at the computer
165|6221620948|cluster2|||
166|6257227763|cluster2|146.120.162.125|2024-04-04|Responsible, I like to cook, sew clothes, embroider pictures, grow flowers, do sports
167|6649684517|cluster2|2a02:2378:102e:4280::1|2024-04-01|Responsible, competent,
168|6848992194|cluster2|||
169|668849234|cluster2|195.211.63.248|2024-03-07|I love psychology. I like to work with people. I love self-development
170|1310275413|cluster3|188.163.83.11|2024-01-19|Don't want
171|1988106760|cluster3|46.211.101.65|2024-01-13|I want to get better, go to work in my specialty and work for the good of Ukraine
172|1697425317|cluster3|37.73.109.74|2024-01-19|It seems to me that I take too much responsibility for work. It's exhausting, but I like it when things are clear and understandable. It's the opposite with studies, I feel like I'm not trying hard enough and I'm not giving my all.
173|5312295751|cluster3|||
174|661753501|cluster3|||
175|719301457|cluster3|185.185.255.26|2024-01-19|Meaningless input
176|890122204|cluster3|188.163.82.114|2024-01-13|Got busy...
177|6397219551|cluster3|46.211.225.83|2024-01-15|I am engaged in drawing, I love foreign languages, cooking, nature, music. Recently started skating
178|687322778|cluster3|46.211.243.61|2024-01-13|I want to open my cafe or maybe something more, but with our salaries, without being deputies, it is impossible to do this
179|1150920950|cluster3|||
180|1157913227|cluster3|||
181|452673367|cluster3|||
182|1626891651|cluster3|46.211.248.5|2024-01-14|Nothing
183|1680043283|cluster3|88.155.146.106|2024-01-14|I'm a classy girl. I like beer and fuck
184|670272439|cluster3|188.163.83.56|2024-01-14|Hm
185|707165195|cluster3|88.155.10.55|2024-01-14|Intelligent, quick learner, able to think logically, creative approach to work
186|2074336903|cluster3|46.211.92.186|2024-01-15|I'm in finance
187|5316177714|cluster3|46.211.244.118|2024-01-14|What counts is not public, but what I do in my free time, nothing else I can say
188|5399223881|cluster3|46.211.234.154|2024-01-14|Ivan Shkulipa Lupar
189|429667165|cluster3|||
190|607811734|cluster3|||
191|762081345|cluster3|195.225.49.20|2024-01-15|good luck
192|591738686|cluster3|88.154.70.113|2024-01-14|An ordinary girl, she left the university and went to work as a seller to earn money. I plan to continue to grow and develop in my chosen field. Also, I don't understand why you need all this information about me. And why this survey at all. It seems to me that you are selling information on some dating sites at best) But I am not hiding anything, so I answered the truth.
193|1005393327|cluster3|213.110.149.80|2024-01-14|"i plan change my job
I love music and watch serials
Mila Cunis - favorit actor"
194|1064345298|cluster3|||
195|1147042750|cluster3|31.144.104.124|2024-01-14|Self-improved, not afraid to overcome problems
196|1338818992|cluster3|||
197|5987215508|cluster3|||
198|6013503412|cluster3|||
199|6381735965|cluster3|46.211.253.3|2024-01-14|Nothing
200|6590294117|cluster3|194.4.68.197|2024-01-15|I play sports, I study.
201|5465355038|cluster3|37.57.176.214|2024-01-12|"I am very diverse. I like many things. From esotericism to creativity. Also, sometimes I have a desire to do something new, but it is difficult due to a lack of resources (time and money). To get at least something for my desires, I sometimes sign up for a job as a promoter. I don't have time for a permanent job because of my studies.
I like to communicate with people. Therefore, working as a promoter for the time being suits me 100%."
202|5598448896|cluster3|46.211.98.10|2024-01-15|Zhhzh
203|420698029|cluster3|134.249.124.90|2024-01-15|Nothing comes to mind
204|945424125|cluster3|95.158.53.15|2024-01-12|I am a calm and quite quiet person, I try to approach work and studies as responsibly as possible
205|706040182|cluster3|95.158.17.215|2024-01-19|I love programming
206|504595031|cluster3|88.155.141.154|2024-02-20|I am a calm person, I like to draw, sleep, eat and listen to music
207|5163505376|cluster3|188.163.22.76|2024-02-20|I love my work, especially when you get paid for it
208|735204037|cluster3|||
